Revenue Rank,Profit Rank,Title,Budget,Gross Revenue,R:B Ratio,Gross Profit,Year
440,444,The Divergent Series: Insurgent,110000000,297002527,2.7,187002527,2015
441,,Look Who's Talking,,296999813,,,1989
442,349,Austin Powers in Goldmember,63000000,296938801,4.71,233938801,2002
443,292,Ghostbusters (1984),30000000,296578797,9.89,266578797,1984
444,449,Miss Peregrine's Home for Peculiar Children,110000000,296482446,2.7,186482446,2016
445,378,X-Men,75000000,296339528,3.95,221339528,2000
446,453,Ferdinand,111000000,296069199,2.67,185069199,2017
447,385,Shutter Island,80000000,294805697,3.69,214805697,2010
448,,Doctor Dolittle,,294456605,,,1998
449,576,Bee Movie,150000000,293514336,1.96,143514336,2007
450,460,Salt,110000000,293503354,2.67,183503354,2010
451,579,G-Force,150000000,292817898,1.95,142817898,2009
452,410,The Departed,90000000,291480452,3.24,201480452,2006
453,435,What Lies Beneath,100000000,291420351,2.91,191420351,2000
454,382,The Bourne Supremacy,75000000,290835269,3.88,215835269,2004
455,436,Sex and the City 2,100000000,290745055,2.91,190745055,2010
456,295,Shakespeare in Love,25000000,289317794,11.57,264317794,1998
457,404,Divergent,85000000,288885818,3.4,203885818,2014
458,,Coming to America,,288752301,,,1988
459,330,Wedding Crashers,40000000,288485135,7.21,248485135,2005
460,,Casper,,287928194,,,1995
461,311,American Pie 2,30000000,287553595,9.59,257553595,2001
462,310,Pitch Perfect 2,29000000,287144079,9.9,258144079,2015
463,364,The Green Mile,60000000,286801374,4.78,226801374,1999
464,500,Oblivion,120000000,286168572,2.38,166168572,2013
465,481,Elysium,115000000,286140700,2.49,171140700,2013
466,569,Lethal Weapon 4,140000000,285444603,2.04,145444603,1998
467,693,John Carter,250000000,284139100,1.14,34139100,2012
468,561,Turbo,135000000,282570682,2.09,147570682,2013
469,362,Paddington,55000000,282377683,5.13,227377683,2014
470,466,The Tourist,100000000,278780441,2.79,178780441,2010
471,289,Split,9000000,278454417,30.94,269454417,2017
472,306,Scary Movie,19000000,278019771,14.63,259019771,2000
473,397,xXx,70000000,277448382,3.96,207448382,2002
474,550,The Bourne Legacy,125000000,276144750,2.21,151144750,2012
475,614,Mr. Peabody & Sherman,145000000,275698039,1.9,130698039,2014
476,432,Scooby-Doo,84000000,275678613,3.28,191678613,2002
477,393,Lincoln,65000000,275293450,4.24,210293450,2012
478,521,Lara Croft: Tomb Raider,115000000,274703340,2.39,159703340,2001
479,420,The Expendables,80000000,274470394,3.43,194470394,2010
480,416,Cloudy with a Chance of Meatballs 2,78000000,274325949,3.52,196325949,2013
481,380,The Nutty Professor,54000000,273961019,5.07,219961019,1996
482,372,Jerry Maguire,50000000,273552592,5.47,223552592,1996
483,577,Bad Boys II,130000000,273339556,2.1,143339556,2003
484,424,Lilo & Stitch,80000000,273144151,3.41,193144151,2002
485,317,The Silence of the Lambs,19000000,272742922,14.35,253742922,1991
486,434,Grown Ups,80000000,271457301,3.39,191457301,2010
487,319,Neighbors,18000000,270665134,15.04,252665134,2014
488,,The Firm,,270248367,,,1993
489,354,We're the Millers,37000000,269994119,7.3,232994119,2012
490,344,Gran Torino,33000000,269958228,8.18,236958228,2008
491,504,"10,000 BC",105000000,269784201,2.57,164784201,2008
492,486,American Gangster,100000000,269755430,2.7,169755430,2007
493,490,Epic,100000000,268426634,2.68,168426634,2013
494,616,Exodus: Gods and Kings,140000000,268175631,1.92,128175631,2014
495,635,Blade Runner 2049,150000000,267770708,1.79,117770708,2017
496,,Bambi,,267447150,,,1942
497,515,The Princess and the Frog,105000000,267045765,2.54,162045765,2009
498,447,Batman Returns,80000000,266915287,3.34,186915287,1992
499,,Indecent Proposal,,266614059,,,1993
500,452,Something's Gotta Give,80000000,265328738,3.32,185328738,2003
501,367,Bridget Jones: The Edge of Reason,40000000,265126918,6.63,225126918,2004
502,638,The Incredible Hulk,150000000,264770996,1.77,114770996,2008
503,675,Waterworld,175000000,264218220,1.51,89218220,1995
504,,The Truman Show,,264118201,,,1998
505,482,Charlie's Angels,93000000,264105545,2.84,171105545,2000
506,,The Fifth Element,,263920180,,,1997
507,413,Jumanji,65000000,262821940,4.04,197821940,1995
508,335,Borat,18000000,262552893,14.59,244552893,2006
509,443,Robots,75000000,262511490,3.5,187511490,2005
510,,Knight and Day,,261989769,,,2008
511,417,Total Recall (1990),65000000,261317921,4.02,196317921,1990
512,,This Is It,,261183588,,,2009
513,692,The Lone Ranger,215000000,260502115,1.21,45502115,2013
514,394,Super 8,50000000,260095986,5.2,210095986,2011
515,375,Mojin: The Lost Legend,37000000,259368448,7.01,222368448,2015
516,594,Charlie's Angels: Full Throttle,120000000,259175788,2.16,139175788,2003
517,634,Rush Hour 3,140000000,258097122,1.84,118097122,2007
518,316,The Full Monty,3500000,257938649,73.7,254438649,1997
519,427,Kung Fu Yoga,65000000,257753889,3.97,192753889,2017
520,324,Annabelle,6500000,257589721,39.63,251089721,2014
521,415,The Village,60000000,256697520,4.28,196697520,2003
522,,Lost in Hong Kong,,256283912,,,2015
523,403,Erin Brockovich,52000000,256271286,4.93,204271286,2000
524,,Get Out,,255745157,,,2016
525,,Marley & Me,,255743093,,,2008
526,454,Cliffhanger,70000000,255000211,3.64,185000211,1993
527,,Baahubali 2: The Conclusion,,254158390,,,2017
528,,Babe,,254134910,,,1995
529,,Wild Hogs,,253625427,,,2007
530,339,High School Musical 3: Senior Year,11000000,252909177,22.99,241909177,2008
531,494,Hercules (1997),85000000,252712101,2.97,167712101,1997
532,386,True Grit,38000000,252276927,6.64,214276927,2010
533,352,Bean,18000000,251212670,13.96,233212670,1997
534,390,American Hustle,40000000,251171807,6.28,211171807,2013
535,518,Enemy of the State,90000000,250849789,2.79,160849789,1998
536,450,You've Got Mail,65000000,250821495,3.86,185821495,1998
537,555,Eragon,100000000,250425512,2.5,150425512,2006
538,,Brother Bear,,250397798,,,2003
539,336,The Godfather,6000000,250341816,41.72,244341816,1972
540,536,The Mask of Zorro,95000000,250288523,2.63,155288523,1998
541,411,The Ring,48000000,249348933,5.19,201348933,2002
542,329,The Blair Witch Project,60000,248639099,4143.98,248579099,1999
543,476,Unbreakable,75000000,248118121,3.31,173118121,2000
544,396,Love Actually,40000000,247933248,6.2,207933248,2003
545,,Journey to the West: The Demons Strike Back,,247585244,,,2017
546,358,Dumb and Dumber,17000000,247290327,14.55,230290327,1994
547,497,Grown Ups 2,80000000,246984278,3.09,166984278,2013
548,562,The Peanuts Movie,99000000,246233113,2.49,147233113,2015
549,648,Rango,135000000,245724603,1.82,110724603,2011
550,341,Four Weddings and a Funeral,4400000,245700832,55.84,241300832,1994
551,502,Face/Off,80000000,245676146,3.07,165676146,1997
552,649,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000,245623848,1.82,110623848,2016
553,670,Dark Shadows,150000000,245527149,1.64,95527149,2012
554,653,Hulk,137000000,245285165,1.79,108285165,2003
555,,Welcome to the Sticks,,245144417,,,2008
556,401,Back to the Future Part III,40000000,245077583,6.13,205077583,1990
557,533,Pixels,88000000,244874809,2.78,156874809,2015
558,571,Hercules (2014),100000000,244819862,2.45,144819862,2014
559,389,Rush Hour,33000000,244721064,7.42,211721064,1998
560,459,Journey to the Center of the Earth,60000000,244232688,4.07,184232688,2008
561,642,After Earth,130000000,243611982,1.87,113611982,2013
562,405,A Few Good Men,41000000,243240178,5.93,202240178,1992
563,578,Cloudy with a Chance of Meatballs,100000000,243006126,2.43,143006126,2009
564,407,8 Mile,41000000,242875078,5.92,201875078,2002
565,,Daddy's Home,,242786137,,,2015
566,580,RoboCop,100000000,242688965,2.43,142688965,2014
567,583,Eraser,100000000,242295562,2.42,142295562,1996
568,573,Alien: Covenant,97000000,240891763,2.48,143891763,2017
569,463,Sully,60000000,240797623,4.01,180797623,2016
570,637,Assassin's Creed,125000000,240697856,1.93,115697856,2016
571,530,Click,82500000,240685326,2.92,158185326,2006
572,437,Planes,50000000,240171783,4.8,190171783,2013
573,473,Resident Evil: Retribution,65000000,240159255,3.69,175159255,2012
574,485,Die Hard 2,70000000,240031274,3.43,170031274,1990
575,,Crocodile Dundee II,,239606210,,,1988
576,644,Batman & Robin,125000000,238235719,1.91,113235719,1997
577,,Howl's Moving Castle,,237536126,,,2004
578,622,Gulliver's Travels,112000000,237382724,2.12,125382724,2010
579,563,Gone in 60 Seconds,90000000,237202299,2.64,147202299,2000
580,,Saturday Night Fever,,237113184,,,1977
581,383,Silver Linings Playbook,21000000,236412453,11.26,215412453,2012
582,519,2 Fast 2 Furious,76000000,236350661,3.11,160350661,2003
583,391,Hidden Figures,25000000,235956898,9.44,210956898,2016
584,601,A.I. Artificial Intelligence,100000000,235926552,2.36,135926552,2001
585,,Dead Poets Society,,235860116,,,1989
586,483,Spy,65000000,235666219,3.63,170666219,2015
587,370,American Pie,11000000,235483004,21.41,224483004,1999
588,455,American Reunion,50000000,234989584,4.7,184989584,2012
589,412,Big Daddy,34200000,234801895,6.87,200601895,1999
590,,Alvin and the Chipmunks: The Road Chip,,234798636,,,2015
591,,The Imitation Game,,233555708,,,2014
592,545,The Day the Earth Stood Still,80000000,233093859,2.91,153093859,2008
593,467,American Wedding,55000000,232722935,4.23,177722935,2003
594,582,The Girl with the Dragon Tattoo,90000000,232617430,2.58,142617430,2011
595,368,Juno,7500000,232372681,30.98,224872681,2007
596,442,Argo,44500000,232325503,5.22,187825503,2012
597,,Mr. Bean's Holiday,,232225908,,,2007
598,402,The English Patient,27000000,231976425,8.59,204976425,1996
599,,Sister Act,,231605150,,,1992
600,613,Constantine,100000000,230884728,2.31,130884728,2005
601,552,Get Smart,80000000,230685453,2.88,150685453,2008
602,,Space Jam,,230594962,,,1996
603,,Life Is Beautiful,,230099013,,,1998
604,446,The Heat,43000000,229930771,5.35,186930771,2013
605,677,Ghostbusters (2016),144000000,229147509,1.59,85147509,2016
606,633,Ghost Rider,110000000,228738393,2.08,118738393,2007
607,,Goodbye Mr. Loser,,228122928,,,2015
608,,Paddington 2,,227994792,,,2017
609,398,Sleepless in Seattle,21000000,227927165,10.85,206927165,1993
610,,Lethal Weapon 2,,227853986,,,1989
611,654,The Green Hornet,120000000,227817248,1.9,107817248,2011
612,,Out of Africa,,227514205,,,1985
613,421,Elf,33000000,227356156,6.89,194356156,2003
614,,Youth,,227091290,,,2017
615,426,Baby Driver,34000000,226945087,6.67,192945087,2017
616,548,Immortals,75000000,226904017,3.03,151904017,2011
617,408,Taken,25000000,226837760,9.07,201837760,2008
618,611,Percy Jackson & the Olympians: The Lightning Thief,95000000,226497209,2.38,131497209,2010
619,471,Hansel & Gretel: Witch Hunters,50000000,226349749,4.53,176349749,2013
620,690,Valerian and the City of a Thousand Planets,177200000,225973340,1.28,48773340,2017
621,,Good Will Hunting,,225933435,,,1997
622,593,Jumper,85000000,225132113,2.65,140132113,2008
623,457,The Social Network,40000000,224920375,5.62,184920375,2010
624,465,Chicken Run,45000000,224874811,5.0,179874811,2000
625,557,Con Air,75000000,224012234,2.99,149012234,1997
626,511,Interview with the Vampire: The Vampire Chronicles,60000000,223664608,3.73,163664608,1994
627,,Flightplan,,223387299,,,2005
628,543,Yes Man,70000000,223241637,3.19,153241637,2008
629,477,Non-Stop,50000000,222809600,4.46,172809600,2014
630,,"Honey, I Shrunk the Kids",,222724172,,,1989
631,381,Fahrenheit 9/11,6000000,222446882,37.07,216446882,2004
632,689,Wild Wild West,170000000,222104681,1.31,52104681,1999
633,662,Geostorm,120000000,221600160,1.85,101600160,2017
634,,Presumed Innocent,,221303188,,,1990
635,478,Scary Movie 3,48000000,220673217,4.6,172673217,2003
636,537,Collateral,65000000,220239925,3.39,155239925,2004
637,570,Inferno,75000000,220021259,2.93,145021259,2016
638,438,Knocked Up,30000000,219922417,7.33,189922417,2007
639,696,Green Lantern,200000000,219851172,1.1,19851172,2011
640,458,What Happens in Vegas,35000000,219375562,6.27,184375562,2008
641,605,It's Complicated,85000000,219103655,2.58,134103655,2009
642,525,The Terminal,60000000,219100084,3.65,159100084,2004
643,510,Captain Phillips,55000000,218791811,3.98,163791811,2013
644,558,The Prince of Egypt,70000000,218613188,3.12,148613188,1998
645,529,Jack Reacher,60000000,218340595,3.64,158340595,2012
646,676,Kingdom of Heaven,130000000,218122627,1.68,88122627,2005
647,491,The Emoji Movie,50000000,217776646,4.36,167776646,2017
648,564,Dracula Untold,70000000,217124280,3.1,147124280,2014
649,498,Central Intelligence,50000000,216972543,4.34,166972543,2016
650,448,Million Dollar Baby,30000000,216763646,7.23,186763646,2004
651,433,The Help,25000000,216639112,8.67,191639112,2011
652,409,Twins,15000000,216614388,14.44,201614388,1988
653,505,Valentine's Day,52000000,216528528,4.16,164528528,2010
654,418,Bad Teacher,20000000,216197492,10.81,196197492,2011
655,540,Clear and Present Danger,62000000,215887717,3.48,153887717,1994
656,,One Hundred and One Dalmatians,,215880014,,,1961
657,560,Ted 2,68000000,215863606,3.17,147863606,2015
658,472,Dracula,40000000,215862692,5.4,175862692,1992
659,589,Vertical Limit,75000000,215663859,2.88,140663859,2000
660,,Ghostbusters II,,215394738,,,1989
661,657,The Patriot,110000000,215294342,1.96,105294342,2000
662,683,The Sorcerer's Apprentice,150000000,215283742,1.44,65283742,2010
663,603,Just Go with It,80000000,214945591,2.69,134945591,2011
664,,The Expendables 3,,214657577,,,2014
665,395,Dirty Dancing,6000000,214577242,35.76,208577242,1987
666,641,Public Enemies,100000000,214104620,2.14,114104620,2009
667,539,The Bourne Identity,60000000,214034224,3.57,154034224,2002
668,526,Disclosure,55000000,214015089,3.89,159015089,1994
669,414,"Crouching Tiger, Hidden Dragon",17000000,213977285,12.59,196977285,2000
670,400,Pulp Fiction,8000000,213928762,26.74,205928762,1994
671,659,The Aviator,110000000,213719942,1.94,103719942,2004
672,585,Braveheart,72000000,213216216,2.96,141216216,1995
673,514,Into the Woods,50000000,212902372,4.26,162902372,2014
674,609,Bedtime Stories,80000000,212874864,2.66,132874864,2008
675,492,Miss Congeniality,45000000,212742720,4.73,167742720,2000
676,566,Entrapment,66000000,212404396,3.22,146404396,1999
677,,Ace Ventura: When Nature Calls,,212385533,,,1995
678,646,End of Days,100000000,211989043,2.12,111989043,1999
679,469,Bridget Jones's Baby,35000000,211952420,6.06,176952420,2016
680,574,Fury,68000000,211822697,3.12,143822697,2014
681,584,Battle Los Angeles,70000000,211819354,3.03,141819354,2011
682,679,Australia,130000000,211787511,1.63,81787511,2008
683,565,Due Date,65000000,211780824,3.26,146780824,2010
684,685,Master and Commander: The Far Side of the World,150000000,211622535,1.41,61622535,2003
685,681,A Series of Unfortunate Events,140000000,211468235,1.51,71468235,2004
686,,The Little Mermaid,,211343479,,,1989
687,462,District 9,30000000,210888950,7.03,180888950,2009
688,,Moonraker,,210308099,,,1979
689,425,The Others,17000000,209947037,12.35,192947037,2001
690,474,Horrible Bosses,35000000,209838559,6.0,174838559,2011
691,612,Red Dragon,78000000,209196298,2.68,131196298,2002
692,697,Tomorrowland,190000000,209035668,1.1,19035668,2015
693,441,Me Before You,20000000,208314186,10.42,188314186,2016
694,626,Safe House,85000000,208076205,2.45,123076205,2012
695,617,S.W.A.T.,80000000,207725639,2.6,127725639,2003
696,488,The Fast and the Furious,38000000,207517509,5.46,169517509,2001
697,,Traffic,,207515725,,,2000
698,406,Paranormal Activity 3,5000000,207039844,41.41,202039844,2011
699,464,Philadelphia,26000000,206678440,7.95,180678440,1993
700,655,Sleepy Hollow,100000000,206071502,2.06,106071502,1999
701,630,The Holiday,85000000,205850169,2.42,120850169,2006
702,,The Jungle Book (1967),,205843612,,,1967
703,568,London Has Fallen,60000000,205754447,3.43,145754447,2016
704,541,The Break-Up,52000000,205668210,3.96,153668210,2006
705,,Journey to the West,,205637183,,,2013
706,495,The Ugly Truth,38000000,205599393,5.41,167599393,2009
707,,JFK,,205405498,,,1991
708,687,White House Down,150000000,205366737,1.37,55366737,2013
709,461,A Dog's Purpose,22000000,205035819,9.32,183035819,2017
710,,Ponyo,,204826668,,,2008
711,658,Fun with Dick and Jane,100000000,204681899,2.05,104681899,2005
712,572,Eat Pray Love,60000000,204594016,3.41,144594016,2010
713,640,You Don't Mess with the Zohan,90000000,204313400,2.27,114313400,2008
714,,Hairspray,,203627753,,,2007
715,678,King Arthur,120000000,203567857,1.7,83567857,2004
716,625,Yogi Bear,80000000,203509374,2.54,123509374,2010
717,559,Everest,55000000,203427584,3.7,148427584,2015
718,602,Vanilla Sky,68000000,203388341,2.99,135388341,2001
719,535,Arrival,47000000,203388186,4.33,156388186,2016
720,597,Need for Speed,66000000,203277636,3.08,137277636,2014
721,544,Garfield,50000000,203172417,4.06,153172417,2004
722,645,Patch Adams,90000000,202292902,2.25,112292902,1998
723,440,Teenage Mutant Ninja Turtles (1990),13500000,202084756,14.97,188584756,1990
724,445,Kindergarten Cop,15000000,201957688,13.46,186957688,1990
725,475,Straight Outta Compton,28000000,201634991,7.2,173634991,2015
726,522,21 Jump Street,42000000,201585328,4.8,159585328,2012
727,619,Valkyrie,75000000,201545517,2.69,126545517,2008
728,636,Open Season,85000000,200811689,2.36,115811689,2006
729,588,Cats & Dogs,60000000,200687492,3.34,140687492,2001
730,484,The Hunt for Red October,30000000,200512643,6.68,170512643,1990
731,650,Percy Jackson: Sea of Monsters,90000000,199850315,2.22,109850315,2013
732,595,Two Weeks Notice,60000000,199043471,3.32,139043471,2002
733,586,RED,58000000,199006387,3.43,141006387,2010
734,,City of Angels,,198685114,,,1998
735,581,The Pacifier,56000000,198636868,3.55,142636868,2005
736,624,50 First Dates,75000000,198520934,2.65,123520934,2004
737,680,Total Recall (2012),125000000,198467168,1.59,73467168,2012
738,,The Impossible,,198087212,,,2012
739,,Lost in Thailand,,197757387,,,2012
740,699,Jack the Giant Slayer,195000000,197687603,1.01,2687603,2013
741,598,Smurfs: The Lost Village,60000000,197183546,3.29,137183546,2017
742,524,Spy Kids 3: Game Over,38000000,197101678,5.19,159101678,2003
743,556,Panic Room,48000000,197079546,4.11,149079546,2002
744,534,The Other Woman,40000000,196710396,4.92,156710396,2014
745,,Stargate,,196567262,,,1994
746,691,Beowulf,150000000,196393745,1.31,46393745,2007
747,501,The Vow,30000000,196114570,6.54,166114570,2012
748,631,Anger Management,75000000,195745823,2.61,120745823,2003
749,660,Tropic Thunder,92000000,195702963,2.13,103702963,2008
750,,The Shape of Water,,195333312,,,2017
751,,The Pelican Brief,,195268056,,,1993
752,688,The BFG,140000000,195243411,1.39,55243411,2016
753,523,The Intern,35000000,194564672,5.56,159564672,2015
754,507,The Curse of the Were-Rabbit,30000000,194137091,6.47,164137091,2005
755,,Gnomeo & Juliet,,193967670,,,2011
756,621,The Sum of All Fears,68000000,193921372,2.85,125921372,2002
757,673,Gangs of New York,100000000,193772504,1.94,93772504,2002
758,575,The Post,50000000,193764664,3.88,143764664,2017
759,,The Monkey King 2,,193678298,,,2016
760,422,Paranormal Activity,15000,193355800,12890.39,193340800,2009
761,596,The Equalizer,55000000,192330738,3.5,137330738,2014
762,517,The Addams Family,30000000,191502426,6.38,161502426,1991
763,651,The Longest Yard,82000000,191466556,2.33,109466556,2005
764,489,The Santa Clause,22000000,190539357,8.66,168539357,1994
765,554,Cheaper by the Dozen,40000000,190538630,4.76,150538630,2003
766,671,Hollow Man,95000000,190213455,2.0,95213455,2000
767,,Outbreak,,189859560,,,1995
768,,The X Files,,189176423,,,1998
769,,Breakup Buddies,,189017596,,,2014
770,620,Rambo III,63000000,189015611,3.0,126015611,1988
771,668,The Secret Life of Walter Mitty,90000000,188133322,2.09,98133322,2013
772,,Jaws 2,,187884007,,,1978
773,493,12 Years a Slave,20000000,187733202,9.39,167733202,2013
774,,Heat,,187436818,,,1995
775,610,Mr. Popper's Penguins,55000000,187361754,3.41,132361754,2011
776,468,The Grudge,10000000,187281115,18.73,177281115,2004
777,661,I Now Pronounce You Chuck & Larry,85000000,187134117,2.2,102134117,2007
778,,The Horse Whisperer,,186883563,,,1998
779,527,Walk the Line,28000000,186797986,6.67,158797986,2005
780,,Jian Bing Man,,186699768,,,2015
781,499,The Jungle Book 2,20000000,186303759,9.32,166303759,2003
782,567,The Final Destination,40000000,186167139,4.65,146167139,2009
783,682,Atlantis: The Lost Empire,120000000,186053725,1.55,66053725,2001
784,587,Inside Man,45000000,186003591,4.13,141003591,2006
785,513,The Waterboy,23000000,185991646,8.09,162991646,1998
786,,Hugo,,185770310,,,2011
787,591,Pitch Perfect 3,45000000,185400345,4.12,140400345,2017
788,686,Watchmen,130000000,185382813,1.43,55382813,2009
789,,The Birdcage,,185260553,,,1996
790,604,Moulin Rouge!,50000000,184935320,3.7,134935320,2001
791,,Snow White and the Seven Dwarfs,,184925486,,,1937
792,628,Hop,63000000,184367145,2.93,121367145,2011
793,509,Bad Moms,20000000,183936074,9.2,163936074,2016
794,698,Jupiter Ascending,176000000,183887723,1.04,7887723,2015
795,606,Knowing,50000000,183658498,3.67,133658498,2007
796,667,102 Dalmatians,85000000,183611771,2.16,98611771,2000
797,643,Storks,70000000,183510278,2.62,113510278,2016
798,,Stand by Me Doraemon,,183442714,,,2014
799,542,The Hitman's Bodyguard,30000000,183428689,6.11,153428689,2017
800,532,Paul Blart: Mall Cop,26000000,183348429,7.05,157348429,2009
801,512,Wayne's World,20000000,183097323,9.15,163097323,1992
802,,Maverick,,183031272,,,1994
803,669,Mirror Mirror,85000000,183018522,2.15,98018522,2012
804,,The Man in the Iron Mask,,182968902,,,1998
805,,Cape Fear,,182291969,,,1991
806,674,The Haunted Mansion,90000000,182290266,2.03,92290266,2003
807,,The Monkey King: Havoc in Heaven's Palace,,182206924,,,2014
808,503,While You Were Sleeping,17000000,182057016,10.71,165057016,1995
809,531,The Bridges of Madison County,24000000,182016617,7.58,158016617,1995
810,,From Vegas to Macau III,,181732879,,,2016
811,695,Poseidon,160000000,181674817,1.14,21674817,2006
812,,The First Wives Club,,181489203,,,1996
813,,Scooby-Doo 2: Monsters Unleashed,,181239132,,,2004
814,538,Hot Shots!,26000000,181096164,6.97,155096164,1991
815,665,Road to Perdition,80000000,181001478,2.26,101001478,2002
816,551,Kill Bill: Vol. 1,30000000,180906076,6.03,150906076,2003
817,632,The Scorpion King,60000000,180630907,3.01,120630907,2002
818,553,Sweet Home Alabama,30000000,180622424,6.02,150622424,2002
819,647,Daddy's Home 2,69000000,180613824,2.62,111613824,2017
820,590,Hacksaw Ridge,40000000,180563636,4.51,140563636,2016
821,656,Deja Vu,75000000,180557550,2.41,105557550,2006
822,,Dangerous Minds,,179519401,,,1995
823,639,The Dictator,65000000,179379533,2.76,114379533,2012
824,663,The League of Extraordinary Gentlemen,78000000,179265204,2.3,101265204,2003
825,,Allegiant,,179246868,,,2016
826,664,Daredevil,78000000,179179718,2.3,101179718,2003
827,546,City Slickers,27000000,179033791,6.63,152033791,1991
828,,He's Just Not That Into You,,178866158,,,2009
829,666,Eagle Eye,80000000,178767383,2.23,98767383,2008
830,600,Along Came Polly,42000000,178311729,4.25,136311729,2004
831,694,Flushed Away,149000000,178281554,1.2,29281554,2006
832,607,Scary Movie 4,45000000,178262620,3.96,133262620,2006
833,684,Dante's Peak,116000000,178127760,1.54,62127760,1997
834,508,Brokeback Mountain,14000000,178062759,12.72,164062759,2005
835,608,Patriot Games,45000000,178051587,3.96,133051587,1992
836,,Flubber,,177977226,,,1997
837,652,Baywatch,69000000,177856751,2.58,108856751,2017
